"jump_grad_press","jump_grad_dens","kappa_max","kappa","diffusion","sigma_a","sigma_t","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
0.001011687331413213542,0.018914830117864767089,4.5641651216625274293e-05,9.7179244172885536954e-08,6.3111609558502994588,15.833989112810147759,15.833989112810147759,0,877,877,3
0.0010069507628998053406,0.019261957513663219288,4.5640662919640714141e-05,9.6757645990601717721e-08,6.3240295642304431567,15.801768934254123877,15.801768934254123877,0,878,878,3
0.00099589873684635676909,0.019482237757983966731,4.563967052745523679e-05,9.6498419533142964533e-08,6.3368681360009340153,15.769754257154007249,15.769754257154007249,0,879,879,3
0.00099136810311506451399,0.019833639578791917302,4.5638674570661386695e-05,9.6078794915017813491e-08,6.3496776465263078393,15.737941181147403924,15.737941181147403924,0,880,880,3
0.00098047341370488538814,0.020061154142240411602,4.5637674591549955594e-05,9.5828881950226318538e-08,6.3624574903896746747,15.706329328156282799,15.706329328156282799,0,881,881,3
0.00097614353941821718763,0.020416961191585869528,4.5636671126714458877e-05,9.5411009316010389622e-08,6.375208655060622398,15.674914838872204825,15.674914838872204825,0,882,882,3
0.0009654009629684878746,0.020651761191402329132,4.5635663710196041384e-05,9.5170358631301622501e-08,6.3879305150644967171,15.643697418928946163,15.643697418928946163,0,883,883,3
0.00096126681901864685642,0.021012104767578421161,4.5634652884705226175e-05,9.4754019337000692592e-08,6.4006240703423022964,15.612673247506968721,15.612673247506968721,0,884,884,3
0.00095067129072390343936,0.021254243767543812282,4.5633638175931840136e-05,9.4522585184871236071e-08,6.4132886751857132168,15.5818421119825814,15.5818421119825814,0,885,885,3
0.00094672802364925701113,0.021619255035147944,4.5632620132885715817e-05,9.4107563358297386152e-08,6.4259253423755664514,15.551200227554781819,15.551200227554781819,0,886,886,3
0.00093627464426049300528,0.021868789029213075992,4.56315982728672931e-05,9.3885305318558865418e-08,6.438533405787316255,15.520747461472971906,15.520747461472971906,0,887,887,3
0.0009325175575156663399,0.022238599332922603935,4.5630573151279002844e-05,9.3471387696601462129e-08,6.4511138914115360166,15.490480062575764819,15.490480062575764819,0,888,888,3
