"rho","rhou","rhoE","epsilon","velocity","internal_energy","pressure","temperature","rad_temp","mach_number","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
1.03421,23.4414,415.348,0.0556604,22.6659,149.687,99.7912,1.17213,3.04022,1.78734,105,105,0.00832,0,0
1.03683,23.4426,416.634,0.0586322,22.6099,151.616,101.078,1.18425,3.04805,1.77378,106,106,0.0084,0,0
1.03966,23.4439,418.015,0.0618071,22.5497,153.689,102.459,1.19717,3.05633,1.75948,107,107,0.00848,0,0
1.04271,23.4453,419.5,0.0651978,22.485,155.916,103.944,1.21096,3.06509,1.74442,108,108,0.00856,0,0
1.04601,23.4469,421.094,0.0688175,22.4154,158.308,105.539,1.22566,3.07435,1.72856,109,109,0.00864,0,0
1.04959,23.4486,422.808,0.0726802,22.3407,160.879,107.253,1.24132,3.08413,1.7119,110,110,0.00872,0,0
1.05346,23.4504,424.65,0.0768002,22.2604,163.642,109.095,1.258,3.09444,1.6944,111,111,0.0088,0,0
1.05765,23.4524,426.63,0.0811926,22.1741,166.612,111.075,1.27575,3.1053,1.67604,112,112,0.00888,0,0
1.0622,23.4546,428.758,0.0858727,22.0812,169.804,113.203,1.29463,3.11672,1.65681,113,113,0.00896,0,0
1.06713,23.457,431.046,0.0908565,21.9814,173.237,115.491,1.3147,3.12873,1.63668,114,114,0.00904,0,0
1.0725,23.4597,433.508,0.0961603,21.8739,176.93,117.953,1.336,3.14133,1.61564,115,115,0.00912,0,0
1.07834,23.4627,436.158,0.101801,21.7582,180.905,120.603,1.35862,3.15454,1.59366,116,116,0.0092,0,0
1.08475,23.4664,439.02,0.107794,21.633,185.195,123.464,1.38262,3.16838,1.57068,117,117,0.00928,0,0
1.09194,23.472,442.146,0.114157,21.4956,189.873,126.582,1.40821,3.18294,1.54646,118,118,0.00936,0,0
1.10065,23.4843,445.703,0.120907,21.3367,195.163,130.109,1.43599,3.19852,1.52011,119,119,0.00944,0,0
1.11348,23.5205,450.271,0.128057,21.1234,201.855,134.57,1.46812,3.21626,1.48835,120,120,0.00952,0,0
1.13861,23.6285,457.683,0.135617,20.7521,212.512,141.675,1.51151,3.23977,1.44105,121,121,0.0096,0,0
1.19582,23.8918,472.368,0.143582,19.9794,233.696,155.797,1.58266,3.27724,1.35585,122,122,0.00968,0,0
1.30858,24.2512,499.998,0.151901,18.5324,275.28,183.52,1.70364,3.33815,1.21218,123,123,0.00976,0,0
1.4716,24.4093,541.422,0.160434,16.5869,338.985,225.99,1.8655,3.41476,1.03679,124,124,0.00984,0,0
1.63939,24.2369,586.026,0.168928,14.7841,406.865,271.243,2.00989,3.479,0.890291,125,125,0.00992,0,0
1.76899,23.9575,620.263,0.177091,13.543,458.034,305.356,2.09689,3.51605,0.798455,126,126,0.01,0,0
1.85452,23.7619,641.135,0.184713,12.8129,488.905,325.937,2.13499,3.53192,0.748642,127,127,0.01008,0,0
1.91154,23.6615,653.232,0.191706,12.3782,506.788,337.859,2.14707,3.5369,0.721205,128,128,0.01016,0,0
1.95394,23.6125,660.997,0.198066,12.0846,518.324,345.549,2.14829,3.53741,0.703894,129,129,0.01024,0,0
1.98882,23.5851,666.738,0.203824,11.8588,526.893,351.262,2.14551,3.53626,0.691194,130,130,0.01032,0,0
2.01914,23.5662,671.413,0.209027,11.6714,533.888,355.925,2.14134,3.53454,0.68093,131,131,0.0104,0,0
2.04612,23.5512,675.401,0.213721,11.5102,539.862,359.908,2.13676,3.53265,0.672245,132,132,0.01048,0,0
2.07031,23.5384,678.871,0.217952,11.3695,545.061,363.374,2.13213,3.53073,0.664748,133,133,0.01056,0,0
2.09206,23.527,681.915,0.221763,11.2459,549.624,366.416,2.12762,3.52887,0.658216,134,134,0.01064,0,0
2.11164,23.517,684.598,0.225193,11.1369,553.645,369.097,2.12332,3.52708,0.652496,135,135,0.01072,0,0
2.12925,23.508,686.969,0.22828,11.0405,557.199,371.466,2.11927,3.5254,0.647469,136,136,0.0108,0,0
2.14511,23.5,689.068,0.231055,10.9551,560.345,373.563,2.11548,3.52382,0.643038,137,137,0.01088,0,0
2.15938,23.4928,690.929,0.23355,10.8794,563.135,375.423,2.11197,3.52236,0.639125,138,138,0.01096,0,0
2.17222,23.4864,692.582,0.235793,10.8122,565.613,377.075,2.10872,3.521,0.635662,139,139,0.01104,0,0
2.18376,23.4806,694.052,0.237808,10.7524,567.816,378.544,2.10575,3.51976,0.632592,140,140,0.01112,0,0
2.19414,23.4754,695.36,0.239618,10.6991,569.777,379.852,2.10302,3.51862,0.629868,141,141,0.0112,0,0
2.20348,23.4708,696.526,0.241244,10.6517,571.524,381.016,2.10053,3.51758,0.627447,142,142,0.01128,0,0
2.21187,23.4666,697.565,0.242704,10.6094,573.081,382.054,2.09826,3.51663,0.625293,143,143,0.01136,0,0
2.21941,23.4629,698.491,0.244015,10.5717,574.471,382.98,2.09621,3.51577,0.623375,144,144,0.01144,0,0
2.22618,23.4595,699.319,0.245193,10.538,575.711,383.807,2.09434,3.51498,0.621666,145,145,0.01152,0,0
2.23227,23.4565,700.057,0.246249,10.5079,576.818,384.545,2.09265,3.51427,0.620142,146,146,0.0116,0,0
2.23774,23.4538,700.717,0.247198,10.481,577.808,385.205,2.09111,3.51363,0.618782,147,147,0.01168,0,0
2.24264,23.4513,701.307,0.24805,10.457,578.692,385.795,2.08973,3.51305,0.617568,148,148,0.01176,0,0
2.24705,23.4491,701.835,0.248814,10.4355,579.483,386.322,2.08848,3.51252,0.616483,149,149,0.01184,0,0
2.25101,23.4472,702.307,0.249501,10.4163,580.191,386.794,2.08736,3.51205,0.615513,150,150,0.01192,0,0
2.25456,23.4454,702.729,0.250117,10.3991,580.824,387.216,2.08634,3.51162,0.614647,151,151,0.012,0,0
2.25775,23.4438,703.107,0.25067,10.3837,581.39,387.593,2.08543,3.51124,0.613871,152,152,0.01208,0,0
2.26061,23.4424,703.445,0.251166,10.3699,581.897,387.932,2.0846,3.51089,0.613178,153,153,0.01216,0,0
2.26318,23.4411,703.748,0.251611,10.3576,582.352,388.234,2.08386,3.51058,0.612557,154,154,0.01224,0,0
2.26549,23.4399,704.019,0.252011,10.3465,582.758,388.506,2.0832,3.5103,0.612002,155,155,0.01232,0,0
2.26755,23.4389,704.262,0.25237,10.3366,583.123,388.748,2.0826,3.51005,0.611504,156,156,0.0124,0,0
2.26941,23.4379,704.48,0.252693,10.3278,583.449,388.966,2.08206,3.50982,0.611059,157,157,0.01248,0,0
2.27107,23.4371,704.675,0.252982,10.3198,583.741,389.161,2.08158,3.50962,0.61066,158,158,0.01256,0,0
2.27257,23.4363,704.85,0.253242,10.3127,584.004,389.336,2.08115,3.50943,0.610302,159,159,0.01264,0,0
2.2739,23.4356,705.006,0.253475,10.3063,584.239,389.492,2.08076,3.50927,0.609981,160,160,0.01272,0,0
2.27511,23.435,705.147,0.253685,10.3006,584.449,389.633,2.08041,3.50912,0.609694,161,161,0.0128,0,0
2.27618,23.4344,705.273,0.253873,10.2955,584.638,389.759,2.0801,3.50899,0.609437,162,162,0.01288,0,0
2.27715,23.4339,705.385,0.254042,10.2909,584.807,389.872,2.07982,3.50887,0.609206,163,163,0.01296,0,0
2.27802,23.4334,705.487,0.254194,10.2868,584.959,389.973,2.07956,3.50877,0.608999,164,164,0.01304,0,0
2.27879,23.433,705.577,0.254331,10.2831,585.096,390.064,2.07934,3.50867,0.608813,165,165,0.01312,0,0
2.27949,23.4326,705.659,0.254454,10.2798,585.218,390.145,2.07914,3.50859,0.608646,166,166,0.0132,0,0
2.28011,23.4323,705.732,0.254564,10.2768,585.328,390.218,2.07896,3.50851,0.608496,167,167,0.01328,0,0
2.28067,23.432,705.798,0.254664,10.2741,585.426,390.284,2.0788,3.50844,0.608362,168,168,0.01336,0,0
2.28118,23.4317,705.856,0.254753,10.2717,585.514,390.343,2.07865,3.50838,0.608241,169,169,0.01344,0,0
2.28163,23.4314,705.909,0.254834,10.2696,585.594,390.396,2.07853,3.50833,0.608133,170,170,0.01352,0,0
2.28203,23.4311,705.957,0.254906,10.2677,585.665,390.443,2.07841,3.50828,0.608036,171,171,0.0136,0,0
2.28239,23.4309,705.999,0.254972,10.2659,585.729,390.486,2.07831,3.50824,0.607948,172,172,0.01368,0,0
2.28272,23.4307,706.038,0.255031,10.2644,585.787,390.525,2.07822,3.5082,0.607869,173,173,0.01376,0,0
2.28301,23.4305,706.072,0.255084,10.263,585.839,390.559,2.07814,3.50817,0.607799,174,174,0.01384,0,0
2.28327,23.4303,706.103,0.255132,10.2617,585.885,390.59,2.07807,3.50813,0.607735,175,175,0.01392,0,0
2.2835,23.4301,706.131,0.255175,10.2606,585.927,390.618,2.078,3.50811,0.607677,176,176,0.014,0,0
2.28371,23.4299,706.156,0.255215,10.2596,585.965,390.643,2.07795,3.50808,0.607626,177,177,0.01408,0,0
2.2839,23.4298,706.179,0.25525,10.2587,585.999,390.666,2.0779,3.50806,0.607579,178,178,0.01416,0,0
2.28407,23.4296,706.199,0.255282,10.2579,586.03,390.687,2.07785,3.50804,0.607537,179,179,0.01424,0,0
2.28422,23.4295,706.217,0.255312,10.2571,586.058,390.705,2.07781,3.50803,0.607499,180,180,0.01432,0,0
2.28435,23.4294,706.234,0.255338,10.2565,586.083,390.722,2.07778,3.50801,0.607464,181,181,0.0144,0,0
2.28447,23.4292,706.249,0.255362,10.2559,586.105,390.737,2.07775,3.508,0.607433,182,182,0.01448,0,0
2.28458,23.4291,706.263,0.255384,10.2553,586.126,390.751,2.07772,3.50799,0.607405,183,183,0.01456,0,0
2.28468,23.429,706.275,0.255404,10.2548,586.145,390.763,2.0777,3.50798,0.607379,184,184,0.01464,0,0
2.28477,23.4289,706.286,0.255423,10.2544,586.162,390.774,2.07768,3.50797,0.607356,185,185,0.01472,0,0
2.28484,23.4288,706.296,0.255439,10.254,586.177,390.785,2.07767,3.50797,0.607335,186,186,0.0148,0,0
2.28491,23.4287,706.305,0.255455,10.2536,586.191,390.794,2.07765,3.50796,0.607315,187,187,0.01488,0,0
2.28498,23.4285,706.314,0.255469,10.2533,586.204,390.802,2.07764,3.50796,0.607298,188,188,0.01496,0,0
2.28503,23.4284,706.321,0.255482,10.253,586.215,390.81,2.07763,3.50795,0.607281,189,189,0.01504,0,0
2.28508,23.4283,706.328,0.255494,10.2527,586.226,390.817,2.07762,3.50795,0.607266,190,190,0.01512,0,0
2.28513,23.4282,706.335,0.255505,10.2525,586.236,390.824,2.07762,3.50795,0.607253,191,191,0.0152,0,0
2.28517,23.4281,706.34,0.255515,10.2523,586.245,390.83,2.07761,3.50794,0.60724,192,192,0.01528,0,0
2.2852,23.428,706.346,0.255525,10.2521,586.253,390.835,2.07761,3.50794,0.607228,193,193,0.01536,0,0
2.28524,23.4279,706.351,0.255534,10.2519,586.261,390.841,2.0776,3.50794,0.607217,194,194,0.01544,0,0
2.28527,23.4278,706.355,0.255542,10.2517,586.268,390.845,2.0776,3.50794,0.607207,195,195,0.01552,0,0
2.28529,23.4277,706.36,0.25555,10.2515,586.275,390.85,2.0776,3.50794,0.607198,196,196,0.0156,0,0
2.28532,23.4276,706.364,0.255557,10.2514,586.281,390.854,2.0776,3.50794,0.607189,197,197,0.01568,0,0
2.28534,23.4275,706.367,0.255564,10.2512,586.287,390.858,2.0776,3.50794,0.60718,198,198,0.01576,0,0
2.28536,23.4275,706.371,0.255571,10.2511,586.292,390.862,2.07761,3.50794,0.607172,199,199,0.01584,0,0
2.28538,23.4274,706.374,0.255577,10.251,586.297,390.865,2.07761,3.50794,0.607165,200,200,0.01592,0,0
2.28539,23.4273,706.377,0.255583,10.2509,586.302,390.868,2.07761,3.50794,0.607158,201,201,0.016,0,0
2.28541,23.4272,706.38,0.255588,10.2508,586.307,390.871,2.07761,3.50794,0.607151,202,202,0.01608,0,0
2.28542,23.4271,706.383,0.255593,10.2507,586.311,390.874,2.07762,3.50795,0.607145,203,203,0.01616,0,0
2.28543,23.427,706.386,0.255598,10.2506,586.316,390.877,2.07762,3.50795,0.607138,204,204,0.01624,0,0
2.28544,23.4269,706.388,0.255603,10.2505,586.32,390.88,2.07763,3.50795,0.607132,205,205,0.01632,0,0
2.28545,23.4268,706.391,0.255607,10.2504,586.324,390.882,2.07763,3.50795,0.607126,206,206,0.0164,0,0
2.28546,23.4267,706.393,0.255612,10.2503,586.327,390.885,2.07764,3.50795,0.607121,207,207,0.01648,0,0
2.28547,23.4266,706.395,0.255616,10.2502,586.331,390.887,2.07764,3.50796,0.607115,208,208,0.01656,0,0
2.28548,23.4265,706.397,0.25562,10.2501,586.335,390.89,2.07765,3.50796,0.60711,209,209,0.01664,0,0
2.28549,23.4264,706.399,0.255624,10.2501,586.338,390.892,2.07765,3.50796,0.607105,210,210,0.01672,0,0
2.28549,23.4263,706.401,0.255627,10.25,586.342,390.894,2.07766,3.50796,0.607099,211,211,0.0168,0,0
2.2855,23.4262,706.403,0.25563,10.2499,586.345,390.897,2.07766,3.50796,0.607094,212,212,0.01688,0,0
2.28551,23.4261,706.405,0.255634,10.2499,586.348,390.899,2.07767,3.50797,0.607089,213,213,0.01696,0,0
2.28551,23.426,706.407,0.255637,10.2498,586.351,390.901,2.07767,3.50797,0.607084,214,214,0.01704,0,0
2.28552,23.4259,706.409,0.25564,10.2497,586.355,390.903,2.07768,3.50797,0.607079,215,215,0.01712,0,0
2.28553,23.4258,706.411,0.255643,10.2496,586.358,390.905,2.07768,3.50797,0.607074,216,216,0.0172,0,0
2.28553,23.4258,706.413,0.255645,10.2496,586.361,390.907,2.07769,3.50798,0.60707,217,217,0.01728,0,0
2.28554,23.4257,706.415,0.255648,10.2495,586.364,390.909,2.0777,3.50798,0.607065,218,218,0.01736,0,0
2.28555,23.4256,706.417,0.25565,10.2494,586.367,390.911,2.0777,3.50798,0.60706,219,219,0.01744,0,0
2.28555,23.4255,706.418,0.255652,10.2494,586.37,390.913,2.07771,3.50798,0.607055,220,220,0.01752,0,0
2.28556,23.4254,706.42,0.255654,10.2493,586.373,390.915,2.07771,3.50799,0.607051,221,221,0.0176,0,0
2.28556,23.4253,706.422,0.255656,10.2492,586.376,390.917,2.07772,3.50799,0.607046,222,222,0.01768,0,0
2.28557,23.4252,706.424,0.255658,10.2492,586.379,390.919,2.07772,3.50799,0.607041,223,223,0.01776,0,0
2.28558,23.4251,706.425,0.25566,10.2491,586.382,390.921,2.07773,3.50799,0.607036,224,224,0.01784,0,0
2.28558,23.425,706.427,0.255661,10.249,586.385,390.923,2.07773,3.50799,0.607032,225,225,0.01792,0,0
