"jump_grad_press","jump_grad_dens","diffusion_aux","sigma_a_aux","sigma_t_aux","mu_max","kappa_max","mu","kappa","ObjectId","GlobalElementId","PedigreeElementId"
0.0287016,7.61948,0.117132,390.712,853.144,9.36315e-07,1.71761e-06,2.06688e-09,2.06688e-09,0,97,97
0.0288095,7.64763,0.117132,390.712,853.144,9.36295e-07,1.7176e-06,2.09355e-09,2.09355e-09,0,98,98
0.0288849,7.67428,0.117132,390.712,853.144,9.36275e-07,1.71759e-06,2.08073e-09,2.08073e-09,0,99,99
0.028997,7.70295,0.117132,390.712,853.144,9.36254e-07,1.71758e-06,2.10868e-09,2.10868e-09,0,100,100
0.0290747,7.73003,0.117132,390.712,853.144,9.36233e-07,1.71757e-06,2.09484e-09,2.09484e-09,0,101,101
0.0291913,7.75924,0.117132,390.712,853.144,9.36211e-07,1.71757e-06,2.12413e-09,2.12413e-09,0,102,102
0.0292715,7.78676,0.117132,390.712,853.144,9.36188e-07,1.71756e-06,2.10921e-09,2.10921e-09,0,103,103
0.0293928,7.81653,0.117132,390.712,853.144,9.36165e-07,1.71755e-06,2.13992e-09,2.13992e-09,0,104,104
0.0294755,7.8445,0.117132,390.712,853.144,9.36141e-07,1.71754e-06,2.12386e-09,2.12386e-09,0,105,105
0.0296019,7.87487,0.117132,390.712,853.144,9.36116e-07,1.71753e-06,2.15606e-09,2.15606e-09,0,106,106
0.0296873,7.90331,0.117132,390.712,853.144,9.36091e-07,1.71752e-06,2.13879e-09,2.13879e-09,0,107,107
0.029819,7.93428,0.117132,390.712,853.144,9.36064e-07,1.7175e-06,2.17258e-09,2.17258e-09,0,108,108
0.0299073,7.96322,0.117132,390.712,853.144,9.36037e-07,1.71749e-06,2.15403e-09,2.15403e-09,0,109,109
0.0300446,7.99483,0.117132,390.712,853.144,9.3601e-07,1.71748e-06,2.18949e-09,2.18949e-09,0,110,110
0.0301359,8.02428,0.117132,390.712,853.144,9.35981e-07,1.71747e-06,2.16957e-09,2.16957e-09,0,111,111
0.0302791,8.05655,0.117132,390.712,853.144,9.35952e-07,1.71746e-06,2.2068e-09,2.2068e-09,0,112,112
0.0303737,8.08652,0.117132,390.712,853.144,9.35922e-07,1.71744e-06,2.18545e-09,2.18545e-09,0,113,113
0.0305231,8.11948,0.117132,390.712,853.144,9.35891e-07,1.71743e-06,2.22453e-09,2.22453e-09,0,114,114
0.0306211,8.15001,0.117132,390.712,853.144,9.35859e-07,1.71742e-06,2.20166e-09,2.20166e-09,0,115,115
0.0307771,8.18369,0.117132,390.712,853.144,9.35826e-07,1.7174e-06,2.24271e-09,2.24271e-09,0,116,116
0.0308786,8.21478,0.117132,390.712,853.144,9.35792e-07,1.71739e-06,2.21822e-09,2.21822e-09,0,117,117
0.0310416,8.24922,0.117132,390.712,853.144,9.35757e-07,1.71738e-06,2.26135e-09,2.26135e-09,0,118,118
0.0311469,8.2809,0.117132,390.712,853.144,9.35722e-07,1.71736e-06,2.23515e-09,2.23515e-09,0,119,119
0.0313174,8.31613,0.117132,390.712,853.144,9.35685e-07,1.71734e-06,2.28047e-09,2.28047e-09,0,120,120
0.0314266,8.34843,0.117132,390.712,853.144,9.35647e-07,1.71733e-06,2.25247e-09,2.25247e-09,0,121,121
0.0316048,8.38447,0.117132,390.712,853.144,9.35608e-07,1.71731e-06,2.30011e-09,2.30011e-09,0,122,122
0.0317182,8.41741,0.117132,390.712,853.144,9.35568e-07,1.7173e-06,2.27019e-09,2.27019e-09,0,123,123
0.0319048,8.45431,0.117132,390.712,853.144,9.35527e-07,1.71728e-06,2.32027e-09,2.32027e-09,0,124,124
0.0320226,8.48792,0.117132,390.712,853.144,9.35484e-07,1.71726e-06,2.28833e-09,2.28833e-09,0,125,125
0.0322179,8.52572,0.117132,390.712,853.144,9.35441e-07,1.71724e-06,2.34099e-09,2.34099e-09,0,126,126
0.0323402,8.56001,0.117132,390.712,853.144,9.35396e-07,1.71722e-06,2.3069e-09,2.3069e-09,0,127,127
0.0325448,8.59876,0.117132,390.712,853.144,9.35349e-07,1.7172e-06,2.3623e-09,2.3623e-09,0,128,128
0.0326721,8.63377,0.117132,390.712,853.144,9.35302e-07,1.71718e-06,2.32594e-09,2.32594e-09,0,129,129
0.0328864,8.6735,0.117132,390.712,853.144,9.35253e-07,1.71716e-06,2.38421e-09,2.38421e-09,0,130,130
0.0330188,8.70926,0.117132,390.712,853.144,9.35203e-07,1.71714e-06,2.34545e-09,2.34545e-09,0,131,131
0.0332435,8.75002,0.117132,390.712,853.144,9.35151e-07,1.71712e-06,2.40677e-09,2.40677e-09,0,132,132
0.0333813,8.78656,0.117132,390.712,853.144,9.35097e-07,1.7171e-06,2.36547e-09,2.36547e-09,0,133,133
0.0336169,8.82839,0.117132,390.712,853.144,9.35043e-07,1.71707e-06,2.42999e-09,2.42999e-09,0,134,134
