"rho","rhou","rhoE","epsilon","velocity","internal_energy","pressure","temperature","rad_temp","mach_number","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
1.00181,0.140559,0.0222624,1.39946e-06,0.140305,0.0124019,0.00826791,0.100255,1.64414,1.19631,129,129,0.00512,0,0
1.00195,0.140559,0.0222631,1.40025e-06,0.140286,0.0124039,0.00826926,0.100257,1.64415,1.19613,130,130,0.00516,0,0
1.00191,0.140559,0.0222644,1.40105e-06,0.14029,0.012405,0.00826998,0.100269,1.6442,1.19609,131,131,0.0052,0,0
1.00206,0.140559,0.0222652,1.40188e-06,0.140271,0.0124071,0.00827138,0.100272,1.64421,1.19591,132,132,0.00524,0,0
1.00203,0.140559,0.0222666,1.40273e-06,0.140274,0.0124082,0.00827216,0.100285,1.64426,1.19587,133,133,0.00528,0,0
1.00217,0.140559,0.0222675,1.4036e-06,0.140255,0.0124104,0.00827363,0.100288,1.64427,1.19568,134,134,0.00532,0,0
1.00214,0.140558,0.0222689,1.4045e-06,0.140258,0.0124117,0.00827447,0.100301,1.64433,1.19563,135,135,0.00536,0,0
1.00229,0.140559,0.0222699,1.40543e-06,0.140238,0.012414,0.00827601,0.100305,1.64434,1.19544,136,136,0.0054,0,0
1.00227,0.140558,0.0222714,1.40638e-06,0.140241,0.0124154,0.00827692,0.100318,1.6444,1.19538,137,137,0.00544,0,0
1.00242,0.140559,0.0222724,1.40736e-06,0.14022,0.0124178,0.00827853,0.100322,1.64441,1.19518,138,138,0.00548,0,0
1.0024,0.140558,0.022274,1.40837e-06,0.140222,0.0124193,0.00827951,0.100336,1.64447,1.19512,139,139,0.00552,0,0
1.00256,0.140559,0.0222751,1.4094e-06,0.140201,0.0124218,0.0082812,0.100341,1.64449,1.19491,140,140,0.00556,0,0
1.00254,0.140558,0.0222767,1.41047e-06,0.140203,0.0124234,0.00828225,0.100356,1.64455,1.19484,141,141,0.0056,0,0
1.0027,0.140559,0.0222779,1.41156e-06,0.140181,0.012426,0.00828403,0.100361,1.64457,1.19462,142,142,0.00564,0,0
1.00268,0.140558,0.0222796,1.41269e-06,0.140182,0.0124277,0.00828515,0.100376,1.64463,1.19454,143,143,0.00568,0,0
1.00285,0.140559,0.0222809,1.41385e-06,0.140159,0.0124305,0.00828703,0.100382,1.64466,1.19431,144,144,0.00572,0,0
1.00284,0.140558,0.0222827,1.41504e-06,0.14016,0.0124323,0.00828823,0.100398,1.64472,1.19422,145,145,0.00576,0,0
1.00302,0.140559,0.0222841,1.41627e-06,0.140137,0.0124353,0.00829019,0.100404,1.64475,1.19399,146,146,0.0058,0,0
1.00301,0.140558,0.0222859,1.41753e-06,0.140137,0.0124372,0.00829149,0.100421,1.64482,1.19389,147,147,0.00584,0,0
1.00319,0.140559,0.0222874,1.41883e-06,0.140113,0.0124403,0.00829355,0.100428,1.64484,1.19364,148,148,0.00588,0,0
1.00318,0.140558,0.0222894,1.42016e-06,0.140113,0.0124424,0.00829493,0.100445,1.64492,1.19354,149,149,0.00592,0,0
1.00337,0.140559,0.022291,1.42153e-06,0.140088,0.0124457,0.00829711,0.100453,1.64495,1.19328,150,150,0.00596,0,0
1.00337,0.140558,0.022293,1.42295e-06,0.140087,0.0124479,0.00829859,0.100471,1.64502,1.19316,151,151,0.006,0,0
1.00356,0.140559,0.0222947,1.4244e-06,0.140061,0.0124513,0.00830087,0.100479,1.64505,1.19289,152,152,0.00604,0,0
1.00356,0.140558,0.0222969,1.42589e-06,0.140059,0.0124537,0.00830246,0.100498,1.64513,1.19277,153,153,0.00608,0,0
1.00376,0.140559,0.0222987,1.42743e-06,0.140032,0.0124573,0.00830486,0.100507,1.64517,1.19249,154,154,0.00612,0,0
1.00377,0.140558,0.022301,1.42901e-06,0.14003,0.0124598,0.00830655,0.100526,1.64525,1.19235,155,155,0.00616,0,0
1.00398,0.140559,0.0223029,1.43063e-06,0.140002,0.0124636,0.00830908,0.100536,1.64529,1.19206,156,156,0.0062,0,0
1.00399,0.140558,0.0223053,1.4323e-06,0.139999,0.0124663,0.00831089,0.100557,1.64537,1.19191,157,157,0.00624,0,0
1.00421,0.14056,0.0223074,1.43402e-06,0.13997,0.0124703,0.00831355,0.100567,1.64542,1.1916,158,158,0.00628,0,0
1.00423,0.140558,0.0223099,1.43578e-06,0.139966,0.0124732,0.00831549,0.100589,1.6455,1.19144,159,159,0.00632,0,0
1.00445,0.14056,0.0223122,1.4376e-06,0.139937,0.0124774,0.00831829,0.1006,1.64555,1.19112,160,160,0.00636,0,0
1.00448,0.140558,0.0223148,1.43947e-06,0.139932,0.0124805,0.00832036,0.100623,1.64564,1.19094,161,161,0.0064,0,0
1.00471,0.14056,0.0223172,1.44139e-06,0.139901,0.012485,0.00832331,0.100635,1.64569,1.19061,162,162,0.00644,0,0
1.00474,0.140558,0.02232,1.44337e-06,0.139895,0.0124883,0.00832552,0.100659,1.64579,1.19042,163,163,0.00648,0,0
1.00498,0.14056,0.0223225,1.4454e-06,0.139863,0.0124929,0.00832863,0.100672,1.64585,1.19006,164,164,0.00652,0,0
1.00502,0.140558,0.0223254,1.44749e-06,0.139856,0.0124965,0.00833099,0.100697,1.64595,1.18986,165,165,0.00656,0,0
1.00527,0.14056,0.0223281,1.44964e-06,0.139823,0.0125014,0.00833426,0.100712,1.64601,1.18949,166,166,0.0066,0,0
1.00531,0.140558,0.0223312,1.45185e-06,0.139815,0.0125052,0.00833678,0.100737,1.64611,1.18927,167,167,0.00664,0,0
1.00557,0.14056,0.0223341,1.45412e-06,0.13978,0.0125103,0.00834023,0.100753,1.64618,1.18889,168,168,0.00668,0,0
1.00563,0.140558,0.0223374,1.45646e-06,0.139771,0.0125144,0.00834291,0.10078,1.64629,1.18865,169,169,0.00672,0,0
1.0059,0.14056,0.0223404,1.45886e-06,0.139735,0.0125198,0.00834656,0.100797,1.64635,1.18824,170,170,0.00676,0,0
