"jump_grad_press","jump_grad_dens","mu_max","kappa_max","mu","kappa","ObjectId","GlobalElementId","PedigreeElementId"
5388.97,11.0866,0.000154759,0.000234832,1.72126e-06,1.72126e-06,0,174,174
5421.01,11.3945,0.000154707,0.00023485,1.90674e-06,1.90674e-06,0,175,175
5477.41,11.6629,0.000154653,0.000234869,1.76342e-06,1.76342e-06,0,176,176
5510.87,11.9853,0.000154598,0.000234888,1.95308e-06,1.95308e-06,0,177,177
5570.5,12.2648,0.000154541,0.000234907,1.80736e-06,1.80736e-06,0,178,178
5605.52,12.6025,0.000154481,0.000234928,2.00135e-06,2.00135e-06,0,179,179
5668.68,12.8937,0.000154419,0.000234948,1.85317e-06,1.85317e-06,0,180,180
5705.42,13.2475,0.000154356,0.00023497,2.05168e-06,2.05168e-06,0,181,181
5772.44,13.5509,0.000154289,0.000234991,1.90096e-06,1.90096e-06,0,182,182
5811.12,13.9219,0.000154221,0.000235014,2.10417e-06,2.10417e-06,0,183,183
5882.35,14.2381,0.00015415,0.000235037,1.95082e-06,1.95082e-06,0,184,184
5923.19,14.6271,0.000154076,0.000235061,2.15894e-06,2.15894e-06,0,185,185
5999.05,14.9567,0.000154,0.000235085,2.00287e-06,2.00287e-06,0,186,186
6042.31,15.3649,0.000153921,0.00023511,2.21611e-06,2.21611e-06,0,187,187
6123.27,15.7084,0.000153839,0.000235136,2.05723e-06,2.05723e-06,0,188,188
6169.27,16.1367,0.000153754,0.000235162,2.27582e-06,2.27582e-06,0,189,189
6255.83,16.4947,0.000153666,0.000235189,2.11402e-06,2.11402e-06,0,190,190
6304.93,16.9442,0.000153575,0.000235217,2.33821e-06,2.33821e-06,0,191,191
6397.7,17.3172,0.000153481,0.000235244,2.17337e-06,2.17337e-06,0,192,192
6450.31,17.7891,0.000153383,0.000235273,2.40342e-06,2.40342e-06,0,193,193
6549.96,18.1776,0.000153281,0.000235302,2.23543e-06,2.23543e-06,0,194,194
6606.59,18.673,0.000153177,0.000235333,2.47161e-06,2.47161e-06,0,195,195
6713.89,19.0774,0.000153068,0.000235363,2.30033e-06,2.30033e-06,0,196,196
6775.12,19.5973,0.000152955,0.000235395,2.54296e-06,2.54296e-06,0,197,197
6890.96,20.0178,0.000152838,0.000235426,2.36824e-06,2.36824e-06,0,198,198
6957.48,20.5634,0.000152717,0.000235459,2.61764e-06,2.61764e-06,0,199,199
7082.89,21.0002,0.000152591,0.000235491,2.43932e-06,2.43932e-06,0,200,200
7155.52,21.5723,0.000152462,0.000235525,2.69584e-06,2.69584e-06,0,201,201
7291.69,22.0252,0.000152327,0.000235559,2.51375e-06,2.51375e-06,0,202,202
7371.42,22.6246,0.000152187,0.000235594,2.77777e-06,2.77777e-06,0,203,203
7519.74,23.0933,0.000152043,0.000235628,2.5917e-06,2.5917e-06,0,204,204
7607.76,23.7206,0.000151893,0.000235664,2.86364e-06,2.86364e-06,0,205,205
7769.87,24.204,0.000151738,0.000235699,2.67339e-06,2.67339e-06,0,206,206
7867.61,24.8593,0.000151577,0.000235736,2.95369e-06,2.95369e-06,0,207,207
8045.44,25.3562,0.00015141,0.000235772,2.75902e-06,2.75902e-06,0,208,208
8154.64,26.0392,0.000151237,0.000235809,3.04817e-06,3.04817e-06,0,209,209
8350.51,26.5472,0.000151058,0.000235845,2.84883e-06,2.84883e-06,0,210,210
8473.28,27.2567,0.000150873,0.000235883,3.14735e-06,3.14735e-06,0,211,211
8689.98,27.7726,0.00015068,0.000235919,2.94305e-06,2.94305e-06,0,212,212
8828.94,28.5065,0.000150481,0.000235956,3.25153e-06,3.25153e-06,0,213,213
9069.82,29.0254,0.000150274,0.000235992,3.04196e-06,3.04196e-06,0,214,214
9228.2,29.7803,0.000150061,0.000236029,3.36103e-06,3.36103e-06,0,215,215
9497.37,30.2954,0.000149839,0.000236065,3.14585e-06,3.14585e-06,0,216,216
9679.22,31.0656,0.000149609,0.000236101,3.4762e-06,3.4762e-06,0,217,217
9981.75,31.5675,0.000149371,0.000236135,3.25503e-06,3.25503e-06,0,218,218
10192.1,32.3446,0.000149124,0.00023617,3.59743e-06,3.59743e-06,0,219,219
10534.4,32.8201,0.000148868,0.000236202,3.36985e-06,3.36985e-06,0,220,220
10779.7,33.592,0.000148603,0.000236235,3.72513e-06,3.72513e-06,0,221,221
11169.6,34.0229,0.000148329,0.000236265,3.49069e-06,3.49069e-06,0,222,222
11458.1,34.7718,0.000148044,0.000236295,3.85978e-06,3.85978e-06,0,223,223
11905.7,35.1327,0.000147749,0.000236322,3.61796e-06,3.61796e-06,0,224,224
12248.2,35.8332,0.000147443,0.000236348,4.00187e-06,4.00187e-06,0,225,225
12766.6,36.089,0.000147126,0.00023637,3.75213e-06,3.75213e-06,0,226,226
13176.9,36.7051,0.000146797,0.000236392,4.15198e-06,4.15198e-06,0,227,227
13783.3,36.8065,0.000146457,0.000236409,3.89369e-06,3.89369e-06,0,228,228
14279.9,37.2862,0.000146104,0.000236425,4.31071e-06,4.31071e-06,0,229,229
14996.8,37.1644,0.000145739,0.000236436,4.04319e-06,4.04319e-06,0,230,230
15604.7,37.4333,0.000145359,0.000236444,4.47873e-06,4.47873e-06,0,231,231
16462.6,36.9902,0.000144967,0.000236447,4.20123e-06,4.20123e-06,0,232,232
17215.6,36.9408,0.000144559,0.000236447,4.65675e-06,4.65675e-06,0,233,233
18256.3,36.036,0.000144137,0.00023644,4.36843e-06,4.36843e-06,0,234,234
19201.5,35.5116,0.000143699,0.000236429,4.84551e-06,4.84551e-06,0,235,235
20483.5,33.941,0.000143246,0.00023641,4.54542e-06,4.54542e-06,0,236,236
21687.5,32.7099,0.000142774,0.000236386,5.04572e-06,5.04572e-06,0,237,237
23294,30.1729,0.000142288,0.000236354,4.73281e-06,4.73281e-06,0,238,238
24853.2,27.8876,0.00014178,0.000236314,5.25804e-06,5.25804e-06,0,239,239
26904.2,23.9381,0.000141258,0.000236266,4.93101e-06,4.93101e-06,0,240,240
28734.4,21.0149,0.000140711,0.000236208,5.47836e-06,5.47836e-06,0,241,241
34496.8,25.7808,0.000140148,0.000236139,5.85054e-06,5.85054e-06,0,242,242
52773.1,236.846,0.000139532,0.000236045,1.45209e-05,1.45209e-05,0,243,243
317036,1427.82,0.000138493,0.000235674,8.01037e-05,8.01037e-05,0,244,244
565794,2490.87,0.000135029,0.000233707,0.000131445,0.000131445,0,245,245
1.07953e+06,3873.66,0.000127541,0.000228936,0.000193354,0.000193354,0,246,246
971421,3473.76,0.000114204,0.000220413,0.000142573,0.000142573,0,247,247
